;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;Y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
376;240000,0;1,0;2,0;1,0;48,0;0,0;-1,0;-1,0;-2,0;-1,0;-1,0;3972,0;783,0;0,0;0,0;3853,0;29252,0;783,0;0,0;0,0;3853,0;29252,0;16747,0;1;ok;10,499795913696289;8,398373819166615;23,0;23,0;24,8;0,0
377;360000,0;2,0;2,0;2,0;41,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;352538,0;360648,0;339204,0;282520,0;290521,0;27792,0;14152,0;15000,0;15000,0;15004,0;5071,0;5168,0;1;ok;15,280455589294434;8,398373819166615;23,0;23,0;24,8;0,0
381;100000,0;2,0;0,9999999999999999;2,0;28,0;3,0;2,0;0,0;0,0;2,0;5,551115123125783e-17;49961,0;48856,0;49899,0;53407,0;51951,0;53195,0;0,0;1831,0;4339,0;0,0;2083,0;1939,0;1;ok;6,591825485229492;8,398373819166615;23,0;23,0;24,8;0,0
384;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,754508972167969;8,398373819166615;23,0;23,0;24,8;0,0
385;50000,0;1,0;2,0;2,0;27,0;0,9999999999999999;3,0000000000000004;1,9999999999999998;2,0;0,0;5,551115123125783e-17;41322,0;40383,0;42413,0;41434,0;45567,0;61595,0;0,0;3000,0;0,0;5000,0;20000,0;0,0;0;ok;7,873484134674072;8,398373819166615;23,0;23,0;24,8;0,0
389;20000,0;1,0;2,0;2,0;25,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;17286,0;18199,0;18559,0;19068,0;19053,0;16500,0;1594,0;1344,0;1243,0;617,9999999999995;579,0;778,0;1;ok;6,614724636077881;8,398373819166615;23,0;23,0;24,8;0,0
390;20000,0;1,0;2,0;2,0;25,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;17286,0;18199,0;18559,0;19068,0;19053,0;16500,0;1594,0;1344,0;1243,0;617,9999999999995;579,0;778,0;1;ok;6,644981384277344;8,398373819166615;23,0;23,0;24,8;0,0
394;180000,0;1,0;2,0;1,0;41,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;859,0;1811,0;1335,0;366,0;1811,0;1828,0;1811,0000000000005;1335,0;366,0;1811,0;1828,0;366,0;1;ok;6,387827396392822;8,398373819166615;23,0;23,0;24,8;0,0
397;140000,0;1,0;2,0;2,0;38,0;0,0;0,0;0,0;2,0;0,0;5,551115123125783e-17;137611,0;135905,0;142477,0;140617,0;139353,0;140953,0;6010,0;12500,0;4009,0;5000,0;6000,0;5300,0;0;ok;9,950843811035156;8,398373819166615;23,0;23,0;24,8;0,0
401;270000,0;2,0;2,0;1,0;40,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;26183,0;24181,0;19543,0;17160,0;14818,0;12702,0;1826,0;1469,0;514,0;581,0000000000005;611,9999999999995;312,0;1;ok;8,495375633239746;8,398373819166615;23,0;23,0;24,8;0,0
404;20000,0;1,0;2,0;2,0;25,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;17286,0;18199,0;18559,0;19068,0;19053,0;16500,0;1594,0;1344,0;1243,0;617,9999999999995;579,0;778,0;1;ok;6,639894008636475;8,398373819166615;23,0;23,0;24,8;0,0
413;190000,0;2,0;2,0;2,0;27,0;2,0;2,0;1,9999999999999998;2,0;0,0;5,551115123125783e-17;3902,0;4686,0;5459,0;6214,0;7104,0;8973,0;1000,0;1000,0;1000,0;1000,0;2000,0;2000,0;1;ok;10,997419357299805;8,398373819166615;23,0;23,0;24,8;0,0
417;70000,0;2,0;0,9999999999999999;1,0;35,0;4,0;3,9999999999999996;3,0000000000000004;2,0;0,0;5,551115123125783e-17;77021,0;73268,0;70275,0;46045,0;42357,0;41026,0;0,0;2001,0;0,0;1666,0;1505,0;2079,0;0;ok;6,283303737640381;8,398373819166615;23,0;23,0;24,8;0,0
419;140000,0;2,0;3,0;1,0;54,0;0,9999999999999999;-2,0;-2,0;-2,0;-2,0;-2,0;-150,0;-150,0;-150,0;-150,0;-150,0;-150,0;0,0;0,0;0,0;0,0;0,0;0,0;0;ok;10,54858112335205;8,398373819166615;23,0;23,0;24,8;0,0
420;80000,0;1,0;2,0;1,0;29,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;78265,0;79364,0;73622,0;75092,0;75976,0;77511,0;3070,0;2623,0;2644,0;2743,0;2783,0;2909,0;1;ok;6,669278144836426;8,398373819166615;23,0;23,0;24,8;0,0
427;80000,0;2,0;3,0;1,0;25,0;0,0;-1,0;-1,0;-1,0;-1,0;-1,0;3525,0;1504,0;0,0;2332,0;4320,0;0,0;1654,0;0,0;2332,0;4320,0;0,0;0,0;1;ok;7,665101051330566;8,398373819166615;23,0;23,0;24,8;0,0
431;220000,0;2,0;0,9999999999999999;1,0;46,0;2,0;2,0;0,0;0,0;0,0;5,551115123125783e-17;243517,00000000003;228368,0;224414,0;196229,0;190050,0;183779,0;0,0;10000,0;7200,0;7001,0;6900,0;6400,0;0;ok;13,436165809631348;8,398373819166615;23,0;23,0;24,8;0,0
448;150000,0;2,0;0,9999999999999999;2,0;29,0;-1,0;-1,0;-1,0;0,0;0,0;5,551115123125783e-17;2356,0;16836,0;1094,0;6382,0;5288,0;5288,0;16836,0;2000,0;5288,0;0,0;0,0;0,0;0;ok;6,640817165374756;8,398373819166615;23,0;23,0;24,8;0,0
449;250000,0;2,0;3,0;1,0;53,0;0,9999999999999999;-1,0;-1,0;-1,0;-1,0;-1,0;-13,0;3823,0;839,0;0,0;1762,0;0,0;3836,0;839,0;0,0;1762,0;0,0;0,0;1;ok;8,226423263549805;8,398373819166615;23,0;23,0;24,8;0,0
455;30000,0;2,0;2,0;2,0;33,0;0,9999999999999999;2,0;0,0;0,0;0,0;5,551115123125783e-17;31089,0;10989,0;11997,0;12397,0;13043,0;13325,0;0,0;1200,0;600,0;1000,0;650,0;650,0;0;ok;8,482817649841309;8,398373819166615;23,0;23,0;24,8;0,0
460;500000,0;2,0;0,9999999999999999;1,0;36,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;8561,0;682,0;15714,0;5390,0;43386,0;0,0;1364,0;15714,0;5390,0;43386,0;0,0;0,0;1;ok;9,511762619018555;8,398373819166615;23,0;23,0;24,8;0,0
462;280000,0;2,0;0,9999999999999999;2,0;38,0;0,9999999999999999;-2,0;-1,0;-1,0;-1,0;-1,0;0,0;0,0;3898,0;1460,0;18901,0;0,0;0,0;3898,0;1460,0;18901,0;0,0;0,0;0;ok;7,532985687255859;8,398373819166615;23,0;23,0;24,8;0,0
467;500000,0;2,0;0,9999999999999999;1,0;36,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;8561,0;682,0;15714,0;5390,0;43386,0;0,0;1364,0;15714,0;5390,0;43386,0;0,0;0,0;0;ok;12,456871032714844;8,398373819166615;23,0;23,0;24,8;0,0
468;300000,0;2,0;2,0;1,0;34,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;999,9999999999927;1000,0;1000,0;1000,0;2000,0;1000,0;1000,0;1000,0;1000,0;2000,0;1000,0000000000005;1000,0;0;ok;5,900559425354004;8,398373819166615;23,0;23,0;24,8;0,0
472;200000,0;2,0;2,0;1,0;27,0;0,0;0,0;0,0;0,0;2,0;2,0;174381,0;177078,0;184026,0;192069,0;198862,0;176770,0;7000,0;10000,0;11000,0;10043,0;0,0;7000,0;0;ok;10,320404052734375;8,398373819166615;23,0;23,0;24,8;0,0
473;120000,0;1,0;2,0;2,0;28,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;4310,0;3905,0;2411,0;1925,0;2943,0;6249,0;3905,0;2411,0;1925,0;2943,0;6249,0;1780,0;1;ok;8,070575714111328;8,398373819166615;23,0;23,0;24,8;0,0
474;50000,0;2,0;3,0;1,0;53,0;0,9999999999999999;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;7,5874834060668945;8,398373819166615;23,0;23,0;24,8;0,0
484;180000,0;2,0;0,9999999999999999;2,0;27,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;264,0;264,0;264,0;264,0;264,0;264,0;264,0;264,0;264,0;264,0;264,0;264,0;1;ok;8,531798362731934;8,398373819166615;23,0;23,0;24,8;0,0
486;50000,0;2,0;3,0;1,0;37,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;49080,0;49240,0;48751,0;30250,0;29570,0;26969,0;2228,0;2000,0;1370,0;949,0000000000005;922,0000000000005;2500,0;0;ok;7,32054328918457;8,398373819166615;23,0;23,0;24,8;0,0
487;50000,0;2,0;3,0;1,0;53,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;46778,0;47770,0;49009,0;50593,0;20218,0;20645,0;1770,0;2009,0;2593,0;1000,0;752,0;1017,0;1;ok;8,016754150390625;8,398373819166615;23,0;23,0;24,8;0,0
489;110000,0;1,0;2,0;1,0;37,0;0,0;0,0;1,9999999999999998;2,0;0,0;5,551115123125783e-17;111864,0;112112,0;114367,0;111064,0;112123,0;111575,0;11000,0;5500,0;0,0;4400,0;4500,0;4200,0;0;ok;9,76986026763916;8,398373819166615;23,0;23,0;24,8;0,0
492;270000,0;2,0;2,0;1,0;40,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;26183,0;24181,0;19543,0;17160,0;14818,0;12702,0;1826,0;1469,0;514,0;581,0000000000005;611,9999999999995;312,0;1;ok;8,519421577453613;8,398373819166615;23,0;23,0;24,8;0,0
495;240000,0;1,0;2,0;1,0;48,0;0,0;-1,0;-1,0;-2,0;-1,0;-1,0;3972,0;783,0;0,0;0,0;3853,0;29252,0;783,0;0,0;0,0;3853,0;29252,0;16747,0;1;ok;10,360617637634277;8,398373819166615;23,0;23,0;24,8;0,0
